Character	Code
9	1111110
6	111110
2	11110
5	1101
7	110011
8	110010
C	11000101
F	11000100
d	11000010

	01
V	00111101
r	00111110
c	00111100
B	11000000
g	00111111
t	00111010
T	11000011
x	00111001
z	00111000
y	11000001
L	00110111
W	00011101
D	00011010
s	11000110
u	00110100
1	1110
A	00011000
X	00011011
Y	00011110
H	00101000
4	0000
n	00010111
a	00101010
p	00101111
R	00010000
N	00010011
0	001000
Q	00010001
3	1111111
w	00011001
O	00010010
K	00010110
I	00010100
q	00101100
o	00100101
i	11000111
f	00011111
U	00100100
l	00100110
 	10
Z	00110110
h	00011100
M	00101001
J	00101011
e	00101101
b	00010101
E	00100111
v	00101110
G	00110001
P	00110000
k	00111011
j	00110010
S	00110011
m	00110101
